IMPORTANT DEBUGGING NOTE: batches of tests are run inside their
own process. For debugging a test inside a debugger, use the
--gtest_filter=<your_test_name> flag along with
--single-process-tests.
Using sharding settings from environment. This is shard 0/1
Using 32 parallel jobs.
[82/96] UkmServiceSourceURLLengthTestGroup/UkmServiceSourceURLLengthTest.Truncation/ExactlyLimit (0 ms)
[83/96] UkmServiceSourceURLLengthTestGroup/UkmServiceSourceURLLengthTest.Truncation/JustAboveLimit (0 ms)
[84/96] UkmServiceSourceURLLengthTestGroup/UkmServiceSourceURLLengthTest.Truncation/CutoffAfterDelimiter (1 ms)
[85/96] UkmServiceSourceURLLengthTestGroup/UkmServiceSourceURLLengthTest.Truncation/CutoffAtDelimiter (1 ms)
[86/96] UkmServiceSourceURLLengthTestGroup/UkmServiceSourceURLLengthTest.Truncation/CutoffBeforeDelimiter (1 ms)
[87/96] SingularUkmEntryTest.InterfaceReceivesEntryFromBuilder (1 ms)
[88/96] SingularUkmEntryTest.MultithreadedInterface (89 ms)
[89/96] UkmRecorderImplTest.IsSampledIn (0 ms)
[90/96] UkmRecorderImplTest.PurgeExtensionRecordings (0 ms)
[91/96] UkmRecorderImplTest.WebApkSourceUrl (3 ms)
[92/96] UkmRecorderImplTest.PaymentAppScopeUrl (1 ms)
[93/96] UkmRecorderImplTest.WebIdentityScopeUrl (1 ms)
[94/96] UkmRecorderImplTest.ObserverNotifiedOnNewEntry (1 ms)
[95/96] UkmRecorderImplTest.ObserverNotifiedOnSourceURLUpdate (1 ms)
[96/96] UkmRecorderImplTest.ObserverNotifiedWhenNotRecording (1 ms)
SUCCESS: all tests passed.
Tests took 0 seconds.
